NONAME,PLOTID,POINTX,POINTY,PANN0080,PSUM0080,PWIN0080,AVTEMP0080,MINTEM0080,MAXTEM0080,GDD,SOLRADR,MOISTR,UR1991_DNS,BLDG_DIST,DIST_HWSLD,DIST_METAL,DIST_PRIV,DIST_SRIV,DEM_10,ASPECT,SLOPE,PH_MID
312,335,2476849,5725144,864.03998,211.5,358.25,11.6678,3.0414,22.4368,2352,0.5987,6633.63439,0,1693.55,2543.05,1645.71,2727.65,127.13,183,195,17,5.6
313,336,2477763,5725160,902.16998,221.84,378.5,11.3575,2.9062,21.9891,2260,0.4856,8699.98578,0,2221.3,1973.49,2337.74,2662.89,231.8,247,100,8,5.6
314,337,2478677,5725177,954.96002,235.86,402.95001,10.7603,2.5888,21.1983,2081,0.7728,6026.19955,0,2686.15,1063.94,2861.54,2060.57,10.22,306,350,39,5.6
315,338,2479591,5725193,1020.75,252.94,430.89999,11.0854,2.8613,21.5146,2179,0.7277,6660.02776,0,2273.15,202.33,3004.12,1614.12,246.37,384,145,34,6.1
316,339,2480506,5725209,1092.55005,270.89001,459.73001,11.8975,3.4449,22.4164,2425,0.8119,6018.13436,0,1358.01,146.79,2356.34,1481.79,333.75,148,355,22,5.6
317,340,2481420,5725226,1139.77002,282.32999,476.60001,12.2818,3.7225,22.842,2541,0.4793,10366.66192,0,443.88,328.3,1937.04,1105.59,210.24,96,160,24,5.6
318,341,2482334,5725242,1217.09998,299.81,503.91,12.4763,3.9097,23.0065,2600,0.7047,7440.31801,0,311.76,315.11,1904.46,663.25,83.61,38,210,15,5.6
319,342,2483248,5725259,1287.06006,314.34,527.76001,12.4512,3.9543,22.9106,2592,0.8642,6432.64537,0,497.64,1046.99,2273.13,518.02,435.8,57,285,21,5.6
320,343,2484162,5725275,1346.65002,325.54999,548.35999,12.4183,3.9907,22.8085,2582,0.7166,8123.50902,0,1075.14,1576.78,2807.31,356.59,45.43,45,195,18,5.6
321,344,2485076,5725292,1397.31006,334,566.52002,11.8363,3.6718,22.0516,2407,0.8862,7064.25504,0,1677.63,2029.57,2351.4,1227.14,19.34,122,320,10,5.6
322,345,2485991,5725308,1418.62,337.03,574.5,11.4354,3.4403,21.5428,2286,0.9042,7210.57159,0,2480.08,2467.05,1928.52,1102.29,358.17,361,280,8,5.2
323,346,2486905,5725325,1468.89001,344.82999,592.52002,10.9972,3.2058,20.9644,2154,0.7831,8854.60496,0,2871.82,2547.85,1892.02,339.49,63.98,278,26,15,5.6
324,347,2487819,5725341,1513.69995,351.10001,608.66998,10.7837,3.1095,20.6599,2089,0.8979,8043.01318,0,3298.45,2905.59,2261.7,520.67,29.73,382,330,45,5.6
325,348,2488733,5725358,1554.23999,356.42001,622.83002,9.7178,2.4633,19.3383,1767,0.6573,12197.81028,0,3774.68,2660.8,2884.19,1348.43,318.03,752,205,15,5.6
326,349,2489647,5725374,1596.69995,362.69,636.20001,9.3541,2.2613,18.8635,1656,0.7743,10929.72478,0,3625.71,2046.82,3159.72,2240.33,71.44,569,62,20,6.1
327,350,2490561,5725391,1632.63,368.01999,646.07001,9.9051,2.6397,19.4898,1820,0.7811,10579.98417,0,2723.61,1438.31,2491.15,2781.47,126.52,412,50,0,6.1
328,351,2491476,5725407,1641.98999,368.79999,647.96002,10.1157,2.786,19.727,1883,0.813,10050.42474,0,1832.27,695.12,1898.49,2008.72,319.96,640,265,29,6.1
329,352,2492390,5725424,1624.06995,361.66,640.44,11.2511,3.5325,21.0606,2223,0.8216,9008.58586,0,986.95,596.94,1035,1213.33,32.15,286,35,23,5.3
330,353,2493304,5725440,1602.70996,354.41,630.69,12.251,4.1897,22.236,2522,0.759,8964.87647,0,488.76,876.98,254.57,346.32,396.8,108,40,10,5.3
331,354,2494218,5725457,1594.56995,351.20001,623.77002,12.0441,4.0738,21.9682,2457,0.8884,7735.30094,0,986.3,851.99,631.52,538.08,666.39,316,280,31,6.1
332,355,2495132,5725473,1582.08997,347.39001,615.17999,12.2756,4.2367,22.2287,2525,0.8441,7962.10958,0,1305.88,18.76,268.19,24.21,42.66,70,335,3,5.3
333,356,2496046,5725490,1569.13,343.88,606.26001,11.6035,3.8215,21.4081,2320,0.6381,10954.77561,0,1817.67,910.7,597.29,877.11,227.7,335,195,29,5.3
334,357,2496961,5725506,1559.18005,341.37,598.10999,11.8295,3.9956,21.6452,2388,0.7854,8703.9872,0,2565.31,1824.42,243.82,1784.31,54.62,197,340,0,5.3
335,358,2497875,5725522,1540.83997,336.89001,587.48999,10.9478,3.4465,20.5764,2119,0.7594,9485.89404,0,2925.74,2715.57,180.51,1581.04,361.66,515,265,15,6.1
336,359,2498789,5725539,1513.06006,330.12,574.39001,11.6408,3.9043,21.3965,2325,0.5718,11772.38736,0,2851.8,2777.2,207.06,829.13,48.63,222,140,25,6.1
337,360,2499703,5725555,1472.55005,320.14001,557.91998,12.4127,4.4139,22.3116,2554,0.707,8778.83241,0,2059.6,1988.29,65.58,117.02,67.83,59,50,5,5.6
338,361,2500617,5725572,1426.93005,308.79999,540.19,12.8922,4.7387,22.8763,2695,0.9332,6231.83099,0,1378.12,1366.52,117.58,437.68,474.77,106,325,25,5.6
339,362,2502445,5725605,1340.21997,286.84,508.76001,13.0273,4.8575,23.0218,2731,0.7322,7347.63632,0,302.34,469.63,1293.01,1511.55,90.11,60,235,10,5.3
340,363,2503360,5725621,1315.76001,280.42999,497.16,11.8352,4.1214,21.5802,2368,0.6753,8454.75005,0,1183.31,1348.05,1126.79,2189.45,68.9,253,250,22,6.1
341,364,2504274,5725638,1282.79004,271.60001,483.26999,10.7332,3.4465,20.2453,2032,0.852,7053.59363,0,2092.89,2241.25,738.9,2995.76,468.67,561,310,7,5.2
342,365,2505188,5725654,1253.14001,263.38,470.32999,10.8888,3.5787,20.4162,2075,0.6566,8815.69133,0,3000.6,2819.87,945.75,2841.26,80.07,314,105,30,5.6
343,366,2506102,5725671,1218.29004,253.63,455.95001,11.2144,3.8236,20.7888,2169,0.6222,8799.69809,0,2570.47,2006.12,1269.02,2034.12,603.58,481,115,26,5.6
344,367,2507016,5725687,1173.88,241.33,438.92001,11.7897,4.2322,21.4581,2338,0.8986,5607.89629,0,1658.78,1265.28,1845.56,1270.49,93.28,204,295,22,6.1
345,368,2507930,5725704,1158.18005,236.82001,432.20999,12.0775,4.4381,21.7919,2423,0.6542,7437.56504,0,753.23,615.49,1416.77,528.1,123.07,268,115,24,6.1
346,369,2508845,5725720,1123.47998,227.00999,417.98999,12.5366,4.7787,22.3177,2557,0.4377,10411.43644,105,34.82,46.47,554.25,32.23,86.64,9,0,0,5.6
347,370,2509759,5725737,1099.91003,220.17999,407.5,12.7148,4.9437,22.504,2606,0.9469,4636.00624,105,12.7,0.29,515.54,422.78,279.16,40,285,34,5.3
348,371,2510673,5725753,1109.76001,222.12,407.32999,12.0976,4.6041,21.7337,2416,0.8808,5231.1081,0,802.24,222.35,24.87,1311.34,388.11,257,270,0,5.6
349,372,2511587,5725770,1046.29004,205.73,387.29999,11.9794,4.5861,21.5593,2376,0.4911,8782.6698,0,476.15,226.74,150.07,2220.7,295.51,261,290,8,5.2
350,373,2512501,5725786,996.88,193.31,371.20001,12.2222,4.8009,21.8155,2445,0.7772,5132.00641,0,719.25,787.86,360.83,2796.42,159.7,199,70,12,5.2
351,374,2513415,5725803,965.72998,185.60001,361.35001,12.3781,4.9309,21.9845,2490,0.8747,4335.19304,0,1548.25,319.97,135.66,2251.93,166.22,218,25,10,5.2
352,375,2514329,5725819,939.16998,179.59,351.51999,12.7802,5.2488,22.4297,2607,0.8342,4271.66286,0,2438.6,476.32,628.62,1911.16,166.16,7,300,4,6.1
353,376,2515244,5725836,985.75,192.53999,361.89999,13.145,5.5425,22.8298,2713,0.5858,6308.92883,0,3342.63,1370.6,1369.31,1977.4,398.04,65,145,25,5.3
354,377,2475037,5724197,817.25,198.61,331.92001,12.2099,3.3013,23.2115,2511,0.9508,3815.76727,0,1228.95,507.32,1253.77,2965.98,108.58,36,340,19,5.2
355,378,2475951,5724213,820.77002,199.89999,337.69,12.08,3.247,23.0191,2473,0.4875,7514.17474,0,887.99,1363.24,1336.7,2709.61,167.12,148,125,10,5.6
356,379,2476865,5724229,843.78003,206.53999,353.94,11.9107,3.197,22.7429,2423,0.9493,3988.21068,0,1274.56,2099.69,1376.7,2749.22,75.05,56,320,24,5.6
357,380,2477779,5724246,881.47998,216.89999,374.57999,11.5502,3.0262,22.2385,2315,0.8799,4580.79409,0,2031.2,2037.29,1836.9,2084.41,420.85,249,310,15,5.6
358,381,2478694,5724262,935.78998,231.39999,400.12,11.2902,2.9202,21.8554,2238,0.5363,8079.56373,0,2881.31,1354.98,2554.62,1375.42,8.42,316,240,12,5.6
359,382,2479608,5724279,1004.96997,249.5,430.01001,11.8835,3.3597,22.497,2417,0.6612,6710.24542,0,2447.73,836.82,3368.9,832.32,275.43,223,75,23,5.6
360,383,2480522,5724295,1080.52002,268.78,461.45999,11.9612,3.4694,22.522,2441,0.4754,9916.39138,0,1634.91,333.6,3130.24,596.78,7.98,117,285,25,5.6
361,384,2481436,5724312,1130.18994,280.97,479.60999,12.042,3.5507,22.5856,2466,0.9308,5267.54077,0,995.88,193.66,2827.79,1272.9,32.29,68,320,18,5.6
362,385,2482350,5724328,1213.96997,299.59,507.64001,12.2024,3.7112,22.713,2514,0.8034,6527.5297,0,985.23,936.67,2805.57,1473.74,56.23,54,270,7,5.6
363,386,2483265,5724345,1289.75,315.12,531.94,12.1965,3.7633,22.6437,2513,0.7967,7040.98484,0,1234.83,1575.42,3068.32,558.86,21.86,74,360,4,5.6
364,387,2484179,5724361,1353.05005,327.03,552.83002,11.9602,3.6651,22.3012,2442,0.8579,6987.81834,0,1780.34,2329.65,3541.59,340.14,102.69,140,360,34,5.6
365,388,2485093,5724378,1404.93994,335.70001,570.71997,11.1272,3.1819,21.2466,2191,0.8047,8198.01904,0,2331.38,2784.97,3122.71,1241.1,206.55,267,275,21,5.6
366,389,2486007,5724394,1446.63,341.51001,585.84003,10.0314,2.5264,19.8808,1860,0.807,9119.25454,0,2961.24,3320.97,2818.56,1474.59,388.41,445,270,15,5.6
367,390,2486921,5724411,1465.35999,343.82001,592.75,9.7609,2.3742,19.5319,1778,0.7695,9881.38047,0,3710.82,3442.37,2793.38,754.52,289.07,552,70,70,6.1
368,391,2487835,5724427,1510.30005,350.34,608.34998,9.865,2.4787,19.6106,1809,0.9545,8118.12922,0,3616.86,3538.14,3055.9,655.71,329.68,475,270,24,6.1
369,392,2488750,5724444,1545.81995,354.63,620.65997,9.2549,2.1223,18.8376,1624,0.9459,8785.77774,0,3671.61,3332.92,3439.35,1400.36,243.12,788,310,30,5.6
370,393,2489664,5724460,1563.93005,354.88,627.13,8.9707,1.9701,18.4596,1537,0.8195,10472.85537,0,3611.99,2703.13,2708.18,2272.37,122.97,768,297,17,5.6
371,394,2490578,5724476,1587.76001,357.17999,633.90002,9.4265,2.287,18.9727,1673,0.8675,9648.84471,0,2705.53,1988.27,1887.58,2718.5,78.78,548,297,33,6.1
372,395,2491492,5724493,1598.08997,358.19,636.33002,9.8602,2.5757,19.4776,1803,0.8213,9897.97479,0,1806.57,1501.05,1206.75,1817.47,122.74,542,30,31,6.1
373,396,2492406,5724509,1610.68994,358.51001,637.41998,11.0042,3.3512,20.7934,2147,0.7752,9655.26035,0,937.94,1470.51,676.35,934.47,301.7,329,340,23,5.3
374,397,2493320,5724526,1589.68994,351.26001,628.27002,12.0576,4.0426,22.0329,2462,0.7502,9125.4986,0,332.33,1723.05,40.44,55.7,486.75,119,70,27,5.3
375,398,2494235,5724542,1582.08997,348.09,621.97998,11.7505,3.8627,21.6445,2368,0.7597,9165.55389,0,945.89,1051.61,702.13,630.99,141.54,334,100,4,5.6
376,399,2495145,5724557,1571.54004,344.72,614.34003,11.9825,4.026,21.9054,2435,0.69,9874.23189,0,1816.41,673.91,205.2,250.11,165.83,165,330,19,5.3
377,400,2496063,5724575,1563.97998,342.54999,607.23999,11.1836,3.53,20.9325,2192,0.7836,9167.6512,0,2531.06,1212.55,774.84,1144.73,81.35,474,265,39,5.3
378,401,2496977,5724592,1563.34998,342.41,604.5,11.0435,3.4477,20.7577,2148,0.9117,7965.69115,0,3110.66,2033.95,90.42,1974.69,85.08,348,295,24,5.3
379,402,2497891,5724608,1558.08997,341.29001,597.88,10.7094,3.2488,20.3445,2045,0.8122,9150.98713,0,3510.52,2903.22,565.33,1337.96,189.68,510,55,33,6.1
380,403,2498805,5724625,1534.26001,335.59,586.10999,11.7273,3.9144,21.553,2349,0.7137,9528.62548,0,2601.39,2527.57,113.29,476.48,144.39,186,60,10,5.6
381,404,2499719,5724641,1500.62,327.45001,571.66998,11.8636,4.0184,21.7051,2386,0.7902,8328.2721,0,1696,1621.44,366.48,424.73,444.2,225,270,25,5.3
382,405,2500634,5724658,1465.87,318.95001,557,12.2275,4.2697,22.13,2493,0.7706,8125.01066,0,809.9,734.81,569.46,958.78,4.99,125,355,0,5.3
383,406,2502462,5724691,1403.84998,303.31,532.40997,12.762,4.6444,22.753,2648,0.814,7079.6296,0,418.85,421.51,625.87,959.22,252.97,148,280,17,5.3
384,407,2503376,5724707,1388.09998,299.04999,523.21002,11.7352,4.0147,21.5087,2335,0.8117,7514.57705,0,1197.07,1029.89,732,1851.27,104.09,338,295,28,5.3
385,408,2504290,5724724,1368.91003,293.57001,513.13,10.5545,3.2905,20.0784,1976,0.602,10869.07771,0,2087.43,1844.51,83.11,2757.86,177.38,521,115,48,6.1
386,409,2505204,5724740,1347.45996,287.17999,502.48001,10.2918,3.1569,19.7468,1893,0.9167,7152.44912,0,2440.87,2388.39,217.44,2345.29,218.17,552,40,13,5.6
387,410,2506119,5724757,1318,278.47,489.66,10.9101,3.5905,20.4689,2075,0.6134,9942.04153,0,1787.36,1635.01,578.73,1566.08,168.17,371,90,25,6.1
388,411,2507033,5724773,1287.43994,269.29999,476.57001,11.8046,4.2052,21.5194,2340,0.8367,6650.22773,0,1431.63,777.62,1460.29,810.62,142.17,401,40,23,6.1
389,412,2507947,5724790,1279.06995,266.45001,471.98001,12.2307,4.5009,22.0182,2466,0.751,7139.9481,0,1059.43,5.68,1836.69,69.26,44.12,53,80,0,5.3
390,413,2508861,5724806,1256.34998,259.26999,461.31,11.9426,4.3673,21.646,2375,0.9316,5742.65889,0,702.58,673.09,1294.66,708.15,35.65,221,275,4,5.3
391,414,2509775,5724823,1238.5,253.50999,452.42001,11.2782,3.9979,20.8193,2171,0.7891,6973.42933,0,812.5,547.07,1037.19,1141.27,191.54,357,80,35,5.6
392,415,2510689,5724839,1222.62,248.58,444.60001,11.166,3.9852,20.6514,2132,0.865,6300.36964,0,1173.72,726.87,634.28,1694.61,90.37,341,40,0,5.2
393,416,2511603,5724856,1192.48999,240.47,433.19,11.4414,4.2237,20.9452,2211,0.7845,6593.58534,0,1358.23,963.84,27.73,2466.13,4.43,274,95,30,5.6
394,417,2512518,5724872,1137.81006,226.63,415.10001,11.9346,4.6039,21.4976,2355,0.8667,5439.35785,0,1465.05,1230.91,408.64,2133.28,209.38,309,50,10,5.2
395,418,2513432,5724889,1098.48999,216.87,402.75,12.3404,4.8964,21.964,2475,0.8281,5304.89666,0,2008.04,375.62,683.29,1505.67,246.11,128,90,20,6.1
396,419,2514346,5724905,1045.18005,204.19,385.04999,12.717,5.2042,22.3741,2584,0.7506,5372.22277,0,2329.92,473.23,291.6,1020.96,89.34,159,85,15,5.3
397,420,2475053,5723282,796.65997,193.23,326.42001,12.3989,3.4244,23.4484,2566,0.3786,9202.33582,0,382.99,78.34,355.22,2171.21,406.76,15,0,0,5.7
398,421,2475968,5723299,799.96002,194.53999,332.25,12.342,3.4153,23.3451,2550,0.7577,4614.05982,0,7.89,851.21,422.7,1806.06,97.84,11,0,0,5.7
399,422,2476882,5723315,823.51001,201.42,348.82999,12.1596,3.3539,23.0564,2496,0.7046,5129.0351,0,893.81,1733.1,545.45,1865.45,302.36,154,240,40,5.6
400,423,2477796,5723332,863.46997,212.38,370.26999,11.7914,3.1747,22.546,2386,0.6759,5705.33738,0,1807.45,1306.38,1332.83,1576.46,305.65,224,105,19,5.6
401,424,2478710,5723348,921.28998,227.75999,396.98001,12.0489,3.3956,22.7869,2464,0.424,9468.86981,0,2543.23,761.68,2218.64,790.9,10.85,103,70,21,6.1
402,425,2479624,5723365,994.59998,246.88,428.26001,12.3481,3.6431,23.0794,2555,0.5417,7787.15856,0,2614.38,64.99,2802.74,135.95,75.04,51,150,16,5.6
403,426,2480538,5723381,1073.73999,267.14999,461.26999,11.9249,3.4285,22.5073,2428,0.7822,5944.17259,0,2263.71,336.23,3306.74,148.37,10.21,111,345,24,5.6
404,427,2481453,5723398,1124.96997,279.85999,480.32999,11.9091,3.4459,22.4569,2423,0.6397,7616.4954,0,1854.58,185.45,3729.75,1007.67,63.65,181,80,21,5.2
405,428,2482367,5723414,1212.79004,299.17001,508.75,11.9454,3.5227,22.439,2434,0.5811,9109.29587,0,1852.63,859.09,3713.18,1726,175.19,203,270,18,5.2
406,429,2483281,5723431,1291.09998,315.20999,533.40002,11.7306,3.437,22.1227,2370,0.8247,6996.21586,0,2113.79,1757.69,3915.15,1051.1,264.46,240,0,0,5.6
407,430,2484195,5723447,1356.12,327.51999,554.53998,11.344,3.2388,21.6032,2253,0.8187,7640.02094,0,2472.43,2516.09,3844.64,950.63,123.17,204,245,28,5.6
408,431,2485109,5723463,1410.01001,336.70999,572.72998,10.6208,2.8221,20.6835,2035,0.7355,9336.09414,0,3070.67,3347.16,3690.65,1540.74,140.38,372,245,39,6.1
409,432,2486024,5723480,1445.77002,341.10001,585.90997,9.9535,2.4374,19.8342,1834,0.9104,8131.48252,0,3397.48,3390.78,3720.18,2045.24,406.02,622,315,30,6.1
410,433,2486938,5723496,1459.76001,342.26001,591.37,9.7303,2.3141,19.5433,1766,0.859,8846.46443,0,2931.32,3007.26,3522.73,1544.98,494.81,797,360,26,6.1
411,434,2487852,5723513,1496.5,346.84,604.57001,9.4326,2.1809,19.1178,1677,0.9587,8296.2993,0,2705.38,2663.53,2936.61,1498.01,297.45,690,315,36,5.6
412,435,2488766,5723529,1522.68994,348.84,614.19,9.4059,2.1966,19.0451,1668,0.6463,12506.92635,0,2776.96,2480.25,2550.34,1943.03,396.98,782,105,27,6.1
413,436,2489680,5723546,1540.94995,349.17999,620.70001,9.0368,1.9894,18.566,1556,0.7319,11494.44741,0,3125.69,2455.84,2327.61,2641.05,487.77,758,225,29,6.1
414,437,2490594,5723562,1552.84998,348.45001,624.32001,9.3387,2.2075,18.8953,1645,0.6932,11892.41889,0,2982.35,2698.92,1550.81,2664.87,60.43,756,110,35,5.6
415,438,2491509,5723579,1558.80005,346.85999,625.10999,10.524,2.9869,20.2875,2001,0.5913,12713.0565,0,2198.39,2386.12,681.61,1757.21,196.4,496,140,38,5.3
416,439,2492423,5723595,1558.32996,345.45001,624.13,11.1262,3.3817,20.9966,2181,0.5651,12708.24797,0,1548.93,2374.49,92.62,866.78,128.99,301,125,18,5.3
417,440,2493337,5723612,1541.64001,339.14999,617.04999,11.7294,3.7852,21.6964,2361,0.8834,7690.39364,0,1246.02,2341.53,497.83,292.54,124.33,211,260,17,5.3
418,441,2494251,5723628,1534.05005,335.85001,611.65002,11.264,3.5042,21.1181,2218,0.8667,8060.22375,0,1533.96,1777.43,587.18,565.94,498.7,379,30,40,5.6
419,442,2495165,5723645,1526.59998,333.17999,605.66998,11.4068,3.6104,21.2716,2259,0.7658,8989.68502,0,2195.99,1582.39,324.83,181.3,527.52,253,280,21,5.3
420,443,2496079,5723661,1529.20996,333.60001,602.03998,10.3648,2.9591,20.0068,1943,0.7053,10580.49057,0,2988.18,1876.99,1128.08,874.04,435.91,621,105,29,5.6
421,444,2496993,5723678,1531.98999,334.34,600.51001,10.0714,2.7788,19.6479,1853,0.7744,9888.07655,0,3664.41,2492.09,997.59,1662.03,30.26,517,290,15,5.6
422,445,2497908,5723694,1534.45996,335.26999,596.45001,10.0514,2.7805,19.6105,1844,0.7537,10211.87384,0,3536.82,2972.9,1107.34,1053.64,193.72,584,80,31,6.1
423,446,2498822,5723711,1516.80005,331.29001,586.69,11.2878,3.5858,21.0804,2214,0.7721,8978.15175,0,2646.9,2594.36,219.19,179.22,173.56,234,55,12,5.6
424,447,2499736,5723727,1495.47998,326.42999,575.85999,11.2713,3.5921,21.0485,2206,0.7579,9023.23376,0,1765.65,1724.23,609.84,639.28,469.99,379,290,20,5.3
425,448,2500650,5723744,1474.5,321.57999,565.13,11.8695,3.9931,21.7537,2383,0.9108,7090.86791,0,856.78,888.25,937.03,956.25,196.05,226,15,0,5.3
426,449,2501564,5723760,1462.85999,318.87,557.02002,12.722,4.5592,22.7634,2636,0.7854,7701.06101,0,113.17,24.54,685.66,93.55,23.62,15,0,0,5.6
427,450,2502478,5723777,1442.33997,313.64999,548.91998,12.6388,4.5181,22.6572,2609,0.8335,7180.85419,0,444.07,306.49,308.72,734.5,170.75,129,360,17,5.3
428,451,2503393,5723793,1430.08997,310.22,540.76001,11.8623,4.0486,21.7123,2372,0.8519,7329.44709,0,1236.9,875.17,99.25,1632.91,128.04,244,335,15,5.3
429,452,2504307,5723810,1420.18994,306.92999,533.34003,10.7461,3.3663,20.3587,2032,0.8424,7962.8185,0,2125.54,1762.8,445.49,2542.07,210.56,547,326,20,5.3
430,453,2505221,5723826,1409.58997,302.98999,525.81,10.2401,3.0784,19.7346,1875,0.7758,8900.3205,0,2025.65,1960.64,398.51,1934.89,256.58,671,73,25,5.6
431,454,2506135,5723843,1397.80005,298.35999,518.03003,11.0237,3.6191,20.654,2107,0.8819,7298.15531,0,1174.02,1127.69,849.3,1081.28,218.99,490,270,25,6.1
432,455,2507049,5723859,1387.41003,293.82001,510.70999,11.9879,4.2804,21.7869,2393,0.7203,8257.88955,0,534.93,371.08,1589.73,331.21,194.02,229,85,19,6.1
433,456,2507963,5723876,1385.47998,292.32999,507.98999,11.8308,4.2049,21.5856,2343,0.9039,6633.98952,0,900.64,343.09,2448.43,394.02,238.69,214,300,25,5.3
434,457,2508878,5723892,1374.35999,287.54001,500.66,10.8274,3.6175,20.3537,2037,0.8617,7391.49978,0,1615.98,1174.14,2171.53,1145.36,270.68,481,310,4,5.6
435,458,2509792,5723909,1361.82996,282.62,493.17001,10.2435,3.3034,19.6209,1856,0.9506,6911.13137,0,1724.8,1405.96,1748.73,1938.75,370.43,515,315,25,5.6
436,459,2510706,5723925,1347.78003,277.72,485.53,10.8008,3.723,20.2525,2020,0.8681,7145.00731,0,1938.3,1489.86,1152.1,2387,355.71,545,340,3,5.6
437,460,2511620,5723942,1321.06006,270.19,474.57001,11.56,4.2759,21.1226,2244,0.9068,6306.20535,0,2265.37,1850,797.76,2358.87,223.6,468,160,0,5.2
438,461,2512534,5723958,1268.05005,256.66,456.42001,11.9641,4.6051,21.5638,2361,0.5187,10194.32658,0,1843.38,1445.18,958.22,1584.47,62.85,229,55,8,6.1
439,462,2513448,5723975,1228.31006,246.8,443.69,12.153,4.7623,21.7677,2415,0.864,5814.33166,0,1403.83,587.61,251.15,841.2,173.97,145,280,35,6.1
440,463,2514362,5723991,1179.21997,235.37,426.64999,12.9181,5.3248,22.6385,2641,0.5353,8500.54311,0,1455.96,94.8,266.12,224.2,372.3,92,100,36,5.6
441,464,2517105,5724041,971.19,189.39999,357.47,13.0908,5.6431,22.7025,2684,0.5641,6398.48154,0,3401.49,2184.67,1796.35,2426.28,174.59,109,90,24,5.6
442,465,2475070,5722368,772.92999,187.14999,319.72,12.4719,3.4711,23.5461,2586,0.4403,7630.57427,0,472.14,70.61,594.96,1358.23,517.04,18,0,0,5.7
443,466,2475984,5722385,775.19,188.22,325.23999,12.4721,3.4971,23.5127,2587,0.6334,5292.12908,0,791.11,952.39,484.15,924,556.53,28,165,3,5.2
444,467,2476898,5722401,796.62,194.55,341.14001,12.4251,3.5193,23.3897,2573,0.6797,5036.08119,0,1246.69,1485.18,597.6,1035.3,356.44,99,210,8,5.6
445,468,2477812,5722418,837.96997,205.78999,362.78,12.2667,3.4708,23.1341,2527,0.7585,4759.27237,0,1974.61,725.58,1352.31,1104.72,12.36,77,155,0,5.6
446,469,2478727,5722434,898.46997,221.67,389.85999,12.4953,3.6697,23.3438,2596,0.3456,10958.75267,0,1634.04,23.82,1609.44,421.06,193.65,7,0,0,5.6
447,470,2479641,5722451,975.52002,241.41,421.45999,12.3997,3.6612,23.1661,2568,0.8629,4772.86313,0,1742.84,321.54,2032.49,329.47,626.26,32,290,13,5.6
448,471,2480555,5722467,1059.31006,262.23001,454.16,12.2448,3.6142,22.9193,2522,0.7013,6425.62913,0,2217.73,1096.23,2612.28,1039.16,195.55,153,120,25,5.6
449,472,2481469,5722483,1113.06995,275.22,473.01001,12.2864,3.6662,22.9392,2534,0.798,5928.28494,0,2734.82,607.93,3119.56,1439.88,16.13,103,335,16,5.6
450,473,2482383,5722500,1200.81995,295.07001,503.04001,12.188,3.653,22.7632,2505,0.5991,8623.61268,0,2748.12,478.5,3724.95,2176.23,28.53,118,305,19,5.6
451,474,2483297,5722516,1286.42004,313.72,531.70001,11.6307,3.3589,22.0213,2338,0.8963,6455.12634,0,3014.74,1326.31,3421.02,1887.36,70.36,262,285,15,5.2
452,475,2484212,5722533,1352.27002,326.31,553.21002,10.9037,2.9413,21.0953,2119,0.911,7065.84251,0,3275.72,2228.36,2979.08,1832.53,535.94,341,350,26,6.1
453,476,2485126,5722549,1409.34998,336.38,572.32001,10.6519,2.8242,20.7423,2043,0.6865,9977.05169,0,3470.36,2845.82,2777.84,1602.62,197.6,439,110,30,5.6
454,477,2486040,5722566,1444.94995,340.78,585.42999,10.4986,2.7665,20.5106,1997,0.5193,13668.81119,0,2729.29,2554.77,2869.62,1738.12,232.5,530,85,29,5.6
455,478,2486954,5722582,1455.08997,340.98999,589.79999,10.3176,2.6695,20.2709,1942,0.5474,13221.54991,0,2122.22,2253.69,2960.51,2111.23,202.04,552,195,25,5.6
456,479,2487868,5722599,1476.04004,341.59,598.46997,10.3196,2.7055,20.2308,1942,0.7658,9558.28226,0,1796.79,1787.32,2230.88,1804.39,73.33,445,215,75,5.6
457,480,2488782,5722615,1492.26001,341.14001,605.29999,10.5578,2.8886,20.4775,2012,0.5239,13826.85935,0,1902.86,1572.76,1690.38,1821.89,266.05,496,150,25,5.3
458,481,2489697,5722632,1499.05005,338.62,608.78998,9.9921,2.5545,19.7644,1841,0.876,8648.40734,0,2376.26,1550.36,1550.23,2249.52,117.51,585,330,30,6.1
459,482,2490611,5722648,1497.46997,334.42001,609.07001,9.7051,2.3952,19.389,1753,0.6212,12425.29653,0,3045.42,1907.27,1115.5,2905.59,42.9,568,90,0,6.1
460,483,2491525,5722665,1493.17004,330.14001,607.62,10.0894,2.662,19.822,1867,0.6268,11876.53421,0,2831.44,2556.78,287.1,2105.28,10.45,561,140,32,6.1
461,484,2492439,5722681,1492.04004,328.51001,606.81,10.5168,2.9447,20.3217,1995,0.964,7459.03557,0,2349.45,3282.77,275.52,1447.66,99.64,330,320,22,6.1
462,485,2493353,5722698,1484.28003,324.35999,602.98999,10.6483,3.0464,20.4565,2032,0.7603,9300.36579,0,2160.1,3034.38,983.46,1195.06,308.16,390,315,22,6.1
463,486,2494267,5722714,1479.71997,321.73999,599.23999,10.6027,3.0331,20.3818,2017,0.6095,11600.47011,0,2338.05,2623.73,636.61,1049.55,143.66,434,65,28,5.3
464,487,2495182,5722731,1474.26001,319.54999,594.56,10.5871,3.0378,20.3454,2010,0.8909,7917.22517,0,2817.39,2302.84,237.23,407.14,359.6,435,335,28,5.3
