SBS_name,SBS_number,general_method,single_value_[m],sample_size,valid,reference,mean_CH_[m],maximum_CH_[m],minimum_CH_[m],number_of_replicates,standard_deviation,standard_error,collection_date,original_reference,country,external_support_structure
Pentaglottis_sempervirens,11832,observation (like obvious taxonomical traits),0.65,,1,ECOFLORA - database of the ecological flora of the british isles,,1,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Pentaglottis_sempervirens,11832,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Pulmonaria_angustifolia,11846,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.25,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pulmonaria_longifolia,11849,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,0.4,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Pulmonaria_longifolia,11849,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Pulmonaria_mollis,11853,derivation from photos or drawings,0.25,,1,BIOPOP April 2005,,0.35,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Nonea_pulla,11903,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.45,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Omphalodes_scorpioides,11922,derivation from photos or drawings,0.2,,1,BIOPOP April 2005,,0.3,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Omphalodes_verna,11923,derivation from photos or drawings,0.075,,1,BIOPOP April 2005,,0.12,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Onosma_arenaria,11924,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.4,0.25,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_ramosissima,11938,observation (like obvious taxonomical traits),0.21,,1,ECOFLORA - database of the ecological flora of the british isles,,0.4,0.02,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_ramosissima,11938,observation (like obvious taxonomical traits),0.02,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.02,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_ramosissima,11938,derivation from photos or drawings,0.075,,1,BIOPOP April 2005,,0.12,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_rehsteineri,11945,derivation from photos or drawings,0.03,,1,BIOPOP April 2005,,0.05,0.01,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_scorpioides,11951,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,0.45,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_scorpioides,11951,observation (like obvious taxonomical traits),0.15,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_scorpioides,11951,derivation from photos or drawings,0.385,,1,BIOPOP April 2005,,0.7,0.07,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_secunda,11953,observation (like obvious taxonomical traits),0.4,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_secunda,11953,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_sparsiflora,11960,derivation from photos or drawings,0.225,,1,BIOPOP April 2005,,0.35,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_stricta,11964,derivation from photos or drawings,0.06,,1,BIOPOP April 2005,,0.1,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_sylvatica,11966,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,0.45,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_sylvatica,11966,derivation from photos or drawings,0.2,,1,BIOPOP April 2005,,0.3,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_sylvatica,11966,observation (like obvious taxonomical traits),0.15,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_discolor,11975,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,0.3,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_discolor,11975,derivation from photos or drawings,0.115,,1,BIOPOP April 2005,,0.2,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_laxa,11988,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,0.4,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_laxa,11988,laboratory/greenhouse/garden experiment,0.12,4,-2,"Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de",0.12,0.14,0.11,,,,,,GERMANY,no
Myosotis_laxa,11988,derivation from photos or drawings,0.225,,1,BIOPOP April 2005,,0.3,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_laxa,11988,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_nemorosa,11994,derivation from photos or drawings,0.415,,1,BIOPOP April 2005,,0.7,0.13,,,,,"Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands",GERMANY,unknown
Lithospermum_arvense,12012,observation (like obvious taxonomical traits),0.55,,1,ECOFLORA - database of the ecological flora of the british isles,,0.8,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Lithospermum_arvense,12012,derivation from photos or drawings,0.25,,1,BIOPOP April 2005,,0.4,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Lithospermum_arvense,12012,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_alpestris,12022,observation (like obvious taxonomical traits),0.125,,1,ECOFLORA - database of the ecological flora of the british isles,,0.2,0.05,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_alpestris,12022,observation (like obvious taxonomical traits),0.05,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.05,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_alpestris,12022,derivation from photos or drawings,0.065,,1,BIOPOP April 2005,,0.1,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_arvensis,12027,observation (like obvious taxonomical traits),0.375,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_arvensis,12027,observation (like obvious taxonomical traits),0.15,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_arvensis,12027,derivation from photos or drawings,0.165,,1,BIOPOP April 2005,,0.25,0.08,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Myosotis_decumbens,12034,derivation from photos or drawings,0.225,,1,BIOPOP April 2005,,0.3,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Heliotropium_europaeum,12039,derivation from photos or drawings,0.2,,1,BIOPOP April 2005,,0.25,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Lappula_deflexa,12048,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.45,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Lappula_deflexa,12048,laboratory/greenhouse/garden experiment,0.7,10,-2,"Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de",0.71,1.03,0.4,,,,,,GERMANY,no
Lappula_squarrosa,12063,derivation from photos or drawings,0.215,,1,BIOPOP April 2005,,0.35,0.08,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Lappula_squarrosa,12063,laboratory/greenhouse/garden experiment,0.4,10,-2,"Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de",0.41,0.52,0.33,,,,,,GERMANY,no
Echium_plantagineum,12090,observation (like obvious taxonomical traits),0.4,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Echium_plantagineum,12090,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Echium_vulgare,12105,observation (like obvious taxonomical traits),0.55,,1,ECOFLORA - database of the ecological flora of the british isles,,0.9,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Echium_vulgare,12105,derivation from photos or drawings,0.55,,1,BIOPOP April 2005,,0.9,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Echium_vulgare,12105,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cerinthe_glabra,12128,derivation from photos or drawings,0.45,,1,BIOPOP April 2005,,0.6,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cerinthe_minor,12134,derivation from photos or drawings,0.375,,1,BIOPOP April 2005,,0.6,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Anchusa_arvensis,12189,observation (like obvious taxonomical traits),0.175,,1,ECOFLORA - database of the ecological flora of the british isles,,0.2,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Anchusa_arvensis,12189,observation (like obvious taxonomical traits),0.15,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.15,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Anchusa_arvensis,12189,derivation from photos or drawings,0.275,,1,BIOPOP April 2005,,0.35,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Symphytum_bulbosum,12211,derivation from photos or drawings,0.375,,1,BIOPOP April 2005,,0.5,0.25,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Symphytum_orientale,12215,observation (like obvious taxonomical traits),0.7,,1,ECOFLORA - database of the ecological flora of the british isles,,0.7,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_stolonifera,12387,observation (like obvious taxonomical traits),0.16,,1,ECOFLORA - database of the ecological flora of the british isles,,0.2,0.12,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Myosotis_stolonifera,12387,observation (like obvious taxonomical traits),0.12,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.12,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Lithospermum_officinale,12411,observation (like obvious taxonomical traits),0.55,,1,ECOFLORA - database of the ecological flora of the british isles,,0.8,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Lithospermum_officinale,12411,derivation from photos or drawings,0.65,,1,BIOPOP April 2005,,1,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Lithospermum_officinale,12411,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Mertensia_maritima,12418,observation (like obvious taxonomical traits),0.6,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Buglossoides_purpurocaerulea,12486,derivation from photos or drawings,0.45,,1,BIOPOP April 2005,,0.6,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cynoglossum_germanicum,12512,observation (like obvious taxonomical traits),0.6,,1,ECOFLORA - database of the ecological flora of the british isles,,0.9,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cynoglossum_germanicum,12512,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cynoglossum_germanicum,12512,derivation from photos or drawings,0.5,,1,BIOPOP April 2005,,0.75,0.25,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cynoglossum_officinale,12519,observation (like obvious taxonomical traits),0.6,,1,ECOFLORA - database of the ecological flora of the british isles,,0.9,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cynoglossum_officinale,12519,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cynoglossum_officinale,12519,derivation from photos or drawings,0.425,,1,BIOPOP April 2005,,0.6,0.25,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Anchusa_officinalis,12527,derivation from photos or drawings,0.475,,1,BIOPOP April 2005,,0.7,0.25,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asperugo_procumbens,12544,derivation from photos or drawings,0.35,,1,BIOPOP April 2005,,0.5,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Borago_officinalis,12546,derivation from photos or drawings,0.31,,1,BIOPOP April 2005,,0.5,0.12,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Amsinckia_lycopsoides,12585,observation (like obvious taxonomical traits),0.35,,1,ECOFLORA - database of the ecological flora of the british isles,,0.5,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Amsinckia_lycopsoides,12585,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Anchusa_azurea,12594,laboratory/greenhouse/garden experiment,0.89,1,-2,"Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de",0.89,0.89,0.89,,,,,,GERMANY,no
Arabidopsis_thaliana,12652,observation (like obvious taxonomical traits),0.275,,1,ECOFLORA - database of the ecological flora of the british isles,,0.5,0.05,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Arabidopsis_thaliana,12652,observation (like obvious taxonomical traits),0.05,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.05,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Arabidopsis_thaliana,12652,derivation from photos or drawings,0.075,,1,BIOPOP April 2005,,0.1,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Arabis_caerulea,12655,derivation from photos or drawings,0.06,,1,BIOPOP April 2005,,0.1,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Nasturtium_microphyllum,12669,observation (like obvious taxonomical traits),0.34,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.08,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Nasturtium_microphyllum,12669,derivation from photos or drawings,0.4,,1,BIOPOP April 2005,,0.65,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Nasturtium_microphyllum,12669,observation (like obvious taxonomical traits),0.08,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.08,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Sisymbrium_supinum,12711,derivation from photos or drawings,0.15,,1,BIOPOP April 2005,,0.25,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Sisymbrium_volgense,12712,derivation from photos or drawings,0.35,,1,BIOPOP April 2005,,0.5,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Iberis_linifolia,12739,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.4,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Erophila_verna_s._verna,12790,derivation from photos or drawings,0.025,,1,BIOPOP April 2005,,0.03,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Eruca_vesicaria_s._sativa,12800,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.3,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Erucastrum_nasturtiifolium,12804,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.4,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Hesperis_matronalis_subsp._matronalis,12834,observation (like obvious taxonomical traits),0.65,,1,ECOFLORA - database of the ecological flora of the british isles,,0.9,0.4,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Hesperis_matronalis_subsp._matronalis,12834,observation (like obvious taxonomical traits),0.4,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.4,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Capsella_bursa-pastoris,12848,observation (like obvious taxonomical traits),0.215,,1,ECOFLORA - database of the ecological flora of the british isles,,0.4,0.03,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Capsella_bursa-pastoris,12848,observation (like obvious taxonomical traits),0.03,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.03,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Capsella_bursa-pastoris,12848,derivation from photos or drawings,0.135,,1,BIOPOP April 2005,,0.25,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cardamine_bellidifolia_s._alpina,12851,derivation from photos or drawings,0.06,,1,BIOPOP April 2005,,0.1,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Erysimum_cheiri,12871,observation (like obvious taxonomical traits),0.4,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Erysimum_cheiri,12871,derivation from photos or drawings,0.275,,1,BIOPOP April 2005,,0.4,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Erysimum_cheiri,12871,observation (like obvious taxonomical traits),0.2,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.2,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cochlearia_danica,12875,observation (like obvious taxonomical traits),0.125,,1,ECOFLORA - database of the ecological flora of the british isles,,0.2,0.05,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cochlearia_danica,12875,derivation from photos or drawings,0.115,,1,BIOPOP April 2005,,0.15,0.08,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cochlearia_danica,12875,observation (like obvious taxonomical traits),0.05,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.05,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Cochlearia_danica,12875,laboratory/greenhouse/garden experiment,0.03,11,-2,"Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de",0.04,0.08,0.03,,,,,,GERMANY,no
Calepina_irregularis,12957,derivation from photos or drawings,0.275,,1,BIOPOP April 2005,,0.4,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Arabis_hirsuta,13002,observation (like obvious taxonomical traits),0.34,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.08,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Arabis_hirsuta,13002,observation (like obvious taxonomical traits),0.08,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.08,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Arabis_hirsuta,13002,derivation from photos or drawings,0.55,,1,BIOPOP April 2005,,0.6,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Arabis_turrita,13010,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.5,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Barbarea_intermedia,13016,observation (like obvious taxonomical traits),0.45,,1,ECOFLORA - database of the ecological flora of the british isles,,0.6,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Barbarea_intermedia,13016,laboratory/greenhouse/garden experiment,0.38,1,-2,"Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de",0.38,0.38,0.38,,,,,,GERMANY,no
Barbarea_intermedia,13016,observation (like obvious taxonomical traits),0.3,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.3,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Barbarea_intermedia,13016,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.45,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
